Título,URL,Estado,Frecuencia,Tamaño,Hastags,Materia
"CEIP San Francisco de Asís (Villardompardo, Jaén)",http://sanfranciscovillar.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
CEIP Agustín Serrano de Haro (Jaén),http://www.juntadeandalucia.es/averroes/centros-tic/23002188/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP El Parque (Palma del Río, Córdoba)",http://estudioyjuegoenelparque.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
CEIP Arrayanes (Granada),http://colegioarrayanesgranada.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Granada,Educación
"IES Murgi (El Ejido, Almería)",http://www.juntadeandalucia.es/averroes/centros-tic/04004826/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP La Alfoquia (Zurgena, Almería)",https://la-alfoquia.webnode.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"CEIP Los Campanales (Las Lagunas, Málaga)",http://www.loscampanales.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"Bodega de Serón (Serón, Almería)",http://www.bodegadeseron.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Almería,Alimentaria
"CEIP Antonio Guerrero (Aljaraque, Huelva)",http://ceipantonioguerrero.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
Denominación de origen Montoro Adamuz (Córdoba),http://montoro-adamuz.com,Activa,Anual,Mediano,Aceite de oliva / Denominaciones de origen / Córdoba,Alimentaria
"CEIP Pintor Cristóbal Ruiz (Villacarrillo, Jaén)",http://ceippintorcristobalruiz.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
Diario sexitano: noticias y actualidad Almuñécar-La Herradura,https://diariosexitano.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Granada / Andalucía,Prensa
"Sierra de Las Villas (Villanueva del Arzobispo, Jaén)",https://sierralasvillas.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
"CEIP Carmen Iturbide Gurruchaga (Gines, Sevilla)",https://ceipcarmeniturbide.blogspot.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
Diario de Torremolinos,https://www.diariodetorremolinos.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Málaga / Andalucía,Prensa
"CEIP La Paz (San José de la Rinconada, Sevilla)",http://www.ceiplapazsjr.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
Federación Andaluza de Gimnasia,https://www.andaluciagym.com,Activa,Semestral,Pequeno,Asociaciones / Deportes / Gimnasia,Deportes
